X,Y,Estado,Nome,Geocodigo,lat,long,cod,icon_url
-44.9344322807855,-17.3396218965277,MG,Pirapora,3151206.00000000000,8082915.84109000023,507011.56498299999,"0",./0.png
-44.7229804680258,-17.5948997619874,MG,Várzea da Palma,3170800.00000000000,8054654.41029999964,529437.45085899998,"0",./0.png
-44.1646970154052,-17.7584817438265,MG,Joaquim Felício,3136405.00000000000,8036381.77806000039,588594.92233500001,"0",./0.png
-43.8512824559327,-19.9762312901345,MG,Nova Lima,3144805.00000000000,7790781.19350999966,620231.72246900003,"0",./0.png
-43.808369789685,-19.9640484096722,MG,Raposos,3153905.00000000000,7792098.24423000030,624731.65530300001,"0",./0.png
-43.959064586511,-19.6975750439333,MG,São José da Lapa,3162955.00000000000,7821694.52608000021,609143.92520199995,"0",./0.png
-43.92432759304,-19.6887950704336,MG,Vespasiano,3171204.00000000000,7822643.54471999966,612791.14402600005,"0",./0.png
-43.8267387379025,-19.8845138562919,MG,Sabará,3156700.00000000000,7800914.52189000044,622870.85411800002,"0",./0.png
-43.850086184565,-19.7552931457283,MG,Santa Luzia,3157807.00000000000,7815232.97742000036,620523.71897100005,"0",./0.png
-44.0386851990722,-19.6312800483993,MG,Pedro Leopoldo,3149309.00000000000,7829080.46078000031,600839.75969500002,"0",./0.png
-43.9935750555707,-19.62865219548,MG,Confins,3117876.00000000000,7829343.99612999987,605571.68347399996,"0",./0.png
-43.8936433024438,-19.6401391762052,MG,Lagoa Santa,3137601.00000000000,7828007.77168000024,616042.59404400003,"0",./0.png
-43.6707833793638,-19.8830789871672,MG,Caeté,3110004.00000000000,7800952.00504999980,639201.01601499994,"0",./0.png
-43.6926543073175,-19.6656550044518,MG,Taquaraçu de Minas,3168309.00000000000,7825034.41581000015,637096.67291199998,"0",./0.png
-43.5834768805662,-19.6880530698137,MG,Nova União,3136603.00000000000,7822463.72955000028,648523.13011300005,"0",./0.png
-43.7376835788842,-19.5124072946126,MG,Jaboticatubas,3134608.00000000000,7842030.98092000000,632500.71623799996,"0",./0.png
-43.9617557518841,-19.2836669766562,MG,Baldim,3105004.00000000000,7867502.87301000021,609138.63241500000,"0",./0.png
-44.0308244328826,-19.2349611124284,MG,Jequitibá,3135704.00000000000,7872934.87325000018,601910.69836100005,"0",./0.png
-43.7223755912715,-19.1667038334284,MG,Santana do Riacho,3159001.00000000000,7880279.27178000007,634389.77056300000,"0",./0.png
-43.4225086610551,-19.0348756898551,MG,Conceição do Mato Dentro,3117504.00000000000,7894612.00413999986,666058.77099400002,"0",./0.png
-43.6771444638484,-18.8025189195261,MG,Congonhas do Norte,3118106.00000000000,7920548.46303999983,639449.33008500002,"0",./0.png
-43.5631977570199,-18.6197159184825,MG,Presidente Kubitschek,3153301.00000000000,7940686.25757000037,651621.89796300000,"0",./0.png
-43.7427168066288,-18.4524056264627,MG,Gouveia,3127602.00000000000,7959343.49856000021,632809.82651799999,"0",./0.png
-43.6595080047398,-18.4482226879093,MG,Datas,3121001.00000000000,7959743.32840999961,641601.11794899998,"0",./0.png
-43.6035217277604,-18.241777053732,MG,Diamantina,3121605.00000000000,7982545.37741000019,647689.52965499996,"0",./0.png
-43.8042747405814,-20.2505989906551,MG,Itabirito,3131901.00000000000,7760379.54117000010,624932.53307300003,"0",./0.png
-43.7882149382186,-20.0880207357802,MG,Rio Acima,3154804.00000000000,7778361.82608999964,626741.39780200005,"0",./0.png
-43.5124740608872,-20.3800376294553,MG,Ouro Preto,3146107.00000000000,7745804.50667999964,655285.26465300005,"0",./0.png
-43.9382069442303,-19.9212983752706,MG,Belo Horizonte,3106200.00000000000,7796920.86775000021,611174.69573100004,"0",./0.png
